iter	RMSE
0	583369.1192
1	553045.225
2	523654.6642
3	502001.8658
4	483385.9142
5	465738.2843
6	453582.4315
7	431082.5776
8	418118.4672
9	409904.6586
10	398071.6801
11	388365.775
12	382992.2917
13	373882.3503
14	367967.1035
15	363057.7451
16	359440.4242
17	355153.7173
18	352297.1501
19	348833.0949
20	345448.3544
21	342992.5485
22	340441.5859
23	338364.8731
24	336145.7544
25	334466.3724
26	332597.0242
27	330304.1161
28	328815.7364
29	327215.5426
30	326058.4789
31	325046.6528
32	323500.5084
33	322649.8513
34	321605.1308
35	320883.796
36	318858.5657
37	318324.1337
38	317444.4907
39	316262.4988
40	315523.6409
41	314124.3427
42	312665.4736
43	311957.4333
44	311455.5826
45	310360.0787
46	309894.479
47	308867.4048
48	308749.2065
49	308506.7698
50	308029.1125
51	306611.6386
52	305660.8628
53	304888.2251
54	303473.8253
55	303239.3345
56	302404.926
57	301365.3814
58	300827.8567
59	300320.2869
60	299483.7791
61	298775.5894
62	298198.3639
63	297617.8734
64	297540.29
65	297051.4059
66	296473.5971
67	295456.3073
68	295386.1875
69	295012.8328
70	294512.3273
71	293460.505
72	293093.307
73	293029.8463
74	292836.4656
75	292514.3291
76	291851.0775
77	291156.4639
78	290588.9429
79	290007.3238
80	289288.5182
81	289235.0912
82	289186.4503
83	288474.0324
84	287381.2848
85	287005.8856
86	286382.3152
87	286338.8824
88	286248.9991
89	285855.9179
90	285359.9144
91	284784.5096
92	284420.8581
93	284050.218
94	283253.5548
95	282912.3182
96	282528.8544
97	282108.4435
98	281283.4777
99	280935.9831
