iter	Passed	Remaining
0	141	14053
1	146	7169
2	151	4891
3	156	3750
4	160	3043
5	163	2554
6	166	2207
7	170	1964
8	175	1776
9	182	1642
10	186	1508
11	190	1398
12	193	1297
13	198	1219
14	202	1149
15	211	1109
16	214	1048
17	217	990
18	220	940
19	223	893
20	226	852
21	229	812
22	234	784
23	242	768
24	245	736
25	248	705
26	257	695
27	261	672
28	264	648
29	268	626
30	273	607
31	275	585
32	277	563
33	280	544
34	283	527
35	286	509
36	290	494
37	292	476
38	296	463
39	299	448
40	301	433
41	303	419
42	306	405
43	308	392
44	314	383
45	321	376
46	323	364
47	328	355
48	331	345
49	334	334
50	336	323
51	340	314
52	343	304
53	345	294
54	347	284
55	350	275
56	353	266
57	362	262
58	365	253
59	368	245
60	372	238
61	376	230
62	379	222
63	381	214
64	386	207
65	390	201
66	393	193
67	395	186
68	399	179
69	402	172
70	406	166
71	408	158
72	411	152
73	414	145
74	417	139
75	420	132
76	422	126
77	425	119
78	428	114
79	431	107
80	438	102
81	440	96
82	444	90
83	450	85
84	454	80
85	457	74
86	460	68
87	464	63
88	467	57
89	470	52
90	474	46
91	480	41
92	484	36
93	491	31
94	497	26
95	502	20
96	506	15
97	510	10
98	512	5
99	516	0
