Rooms,Type,Method,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount
2,h,S,2.5,2.0,1.0,1.0,202.0,124.0,1970.0,Yarra,Northern Metropolitan,4019.0
2,h,S,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra,Northern Metropolitan,4019.0
3,h,SP,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra,Northern Metropolitan,4019.0
3,h,PI,2.5,3.0,2.0,1.0,94.0,124.0,1970.0,Yarra,Northern Metropolitan,4019.0
4,h,VB,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra,Northern Metropolitan,4019.0
2,h,S,2.5,2.0,1.0,0.0,181.0,124.0,1970.0,Yarra,Northern Metropolitan,4019.0
3,h,S,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra,Northern Metropolitan,4019.0
2,h,S,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra,Northern Metropolitan,4019.0
1,u,S,2.5,1.0,1.0,1.0,0.0,124.0,1970.0,Yarra,Northern Metropolitan,4019.0
2,h,S,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra,Northern Metropolitan,4019.0
2,u,VB,2.5,2.0,2.0,1.0,0.0,124.0,1970.0,Yarra,Northern Metropolitan,4019.0
3,h,VB,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra,Northern Metropolitan,4019.0
2,u,S,2.5,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra,Northern Metropolitan,4019.0
2,h,S,2.5,2.0,1.0,1.0,195.0,124.0,1970.0,Yarra,Northern Metropolitan,4019.0
1,u,SP,2.5,1.0,1.0,1.0,0.0,124.0,1970.0,Yarra,Northern Metropolitan,4019.0
2,h,S,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra,Northern Metropolitan,4019.0
3,h,S,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra,Northern Metropolitan,4019.0
3,h,S,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra,Northern Metropolitan,4019.0
3,h,S,2.5,3.0,1.0,0.0,183.0,124.0,1970.0,Yarra,Northern Metropolitan,4019.0
2,h,S,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra,Northern Metropolitan,4019.0
4,h,PI,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra,Northern Metropolitan,4019.0
3,t,S,2.5,3.0,2.0,2.0,0.0,124.0,2010.0,Yarra,Northern Metropolitan,4019.0
3,u,S,2.5,3.0,2.0,2.0,4290.0,27.0,1970.0,Yarra,Northern Metropolitan,4019.0
2,u,S,2.5,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra,Northern Metropolitan,4019.0
2,h,PI,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra,Northern Metropolitan,4019.0
2,h,S,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra,Northern Metropolitan,4019.0
1,u,SP,2.5,1.0,1.0,1.0,0.0,124.0,1970.0,Yarra,Northern Metropolitan,4019.0
3,h,PI,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra,Northern Metropolitan,4019.0
1,u,S,2.5,1.0,1.0,1.0,0.0,50.0,1970.0,Yarra,Northern Metropolitan,4019.0
