Rooms,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Propertycount,Type,Method,CouncilArea,Regionname
2,2.5,2.0,1.0,1.0,202.0,124.0,1970.0,4019.0,0,1,31,2
2,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,4019.0,0,1,31,2
3,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,4019.0,0,3,31,2
3,2.5,3.0,2.0,1.0,94.0,124.0,1970.0,4019.0,0,0,31,2
4,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,4019.0,0,4,31,2
2,2.5,2.0,1.0,0.0,181.0,124.0,1970.0,4019.0,0,1,31,2
3,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,4019.0,0,1,31,2
2,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,4019.0,0,1,31,2
1,2.5,1.0,1.0,1.0,0.0,124.0,1970.0,4019.0,2,1,31,2
2,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,4019.0,0,1,31,2
2,2.5,2.0,2.0,1.0,0.0,124.0,1970.0,4019.0,2,4,31,2
3,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,4019.0,0,4,31,2
2,2.5,2.0,2.0,1.0,0.0,94.0,2009.0,4019.0,2,1,31,2
2,2.5,2.0,1.0,1.0,195.0,124.0,1970.0,4019.0,0,1,31,2
1,2.5,1.0,1.0,1.0,0.0,124.0,1970.0,4019.0,2,3,31,2
2,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,4019.0,0,1,31,2
3,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,4019.0,0,1,31,2
3,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,4019.0,0,1,31,2
3,2.5,3.0,1.0,0.0,183.0,124.0,1970.0,4019.0,0,1,31,2
2,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,4019.0,0,1,31,2
4,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,4019.0,0,0,31,2
3,2.5,3.0,2.0,2.0,0.0,124.0,2010.0,4019.0,1,1,31,2
3,2.5,3.0,2.0,2.0,4290.0,27.0,1970.0,4019.0,2,1,31,2
2,2.5,2.0,1.0,1.0,0.0,60.0,1970.0,4019.0,2,1,31,2
2,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,4019.0,0,0,31,2
2,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,4019.0,0,1,31,2
1,2.5,1.0,1.0,1.0,0.0,124.0,1970.0,4019.0,2,3,31,2
3,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,4019.0,0,0,31,2
1,2.5,1.0,1.0,1.0,0.0,50.0,1970.0,4019.0,2,1,31,2
2,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,4019.0,0,1,31,2
4,2.5,4.0,3.0,1.0,0.0,124.0,1970.0,4019.0,0,1,31,2
3,2.5,3.0,2.0,2.0,147.0,18.0,1970.0,4019.0,0,1,31,2
3,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,4019.0,0,1,31,2
1,2.5,1.0,1.0,1.0,0.0,50.0,2013.0,4019.0,2,1,31,2
2,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,4019.0,0,1,31,2
3,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,4019.0,0,3,31,2
2,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,4019.0,0,1,31,2
2,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,4019.0,0,1,31,2
3,13.5,3.0,2.0,1.0,303.0,225.0,2016.0,3464.0,1,0,21,6
3,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,3464.0,0,4,21,6
3,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,3464.0,0,3,21,6
2,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,3464.0,0,1,21,6
