Price,Rooms,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Propertycount,Type,Method,CouncilArea,Regionname,Predicted Price,Index
1480000.0,2,2.5,2.0,1.0,1.0,202.0,124.0,1970.0,4019.0,0,1,31,2,1192419,0
1035000.0,2,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,4019.0,0,1,31,2,1136473,1
1465000.0,3,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,4019.0,0,3,31,2,1566644,2
850000.0,3,2.5,3.0,2.0,1.0,94.0,124.0,1970.0,4019.0,0,0,31,2,1337116,3
1600000.0,4,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,4019.0,0,4,31,2,1366982,4
941000.0,2,2.5,2.0,1.0,0.0,181.0,124.0,1970.0,4019.0,0,1,31,2,1197610,5
1876000.0,3,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,4019.0,0,1,31,2,1906670,6
1636000.0,2,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,4019.0,0,1,31,2,1297787,7
300000.0,1,2.5,1.0,1.0,1.0,0.0,124.0,1970.0,4019.0,2,1,31,2,530885,8
1097000.0,2,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,4019.0,0,1,31,2,1381497,9
700000.0,2,2.5,2.0,2.0,1.0,0.0,124.0,1970.0,4019.0,2,4,31,2,783748,10
1350000.0,3,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,4019.0,0,4,31,2,1483110,11
750000.0,2,2.5,2.0,2.0,1.0,0.0,94.0,2009.0,4019.0,2,1,31,2,720446,12
1172500.0,2,2.5,2.0,1.0,1.0,195.0,124.0,1970.0,4019.0,0,1,31,2,1192419,13
441000.0,1,2.5,1.0,1.0,1.0,0.0,124.0,1970.0,4019.0,2,3,31,2,505943,14
1310000.0,2,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,4019.0,0,1,31,2,1299020,15
1200000.0,3,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,4019.0,0,1,31,2,1520758,16
1176500.0,3,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,4019.0,0,1,31,2,1252774,17
955000.0,3,2.5,3.0,1.0,0.0,183.0,124.0,1970.0,4019.0,0,1,31,2,1363408,18
890000.0,2,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,4019.0,0,1,31,2,1007324,19
1330000.0,4,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,4019.0,0,0,31,2,2434882,20
900000.0,3,2.5,3.0,2.0,2.0,0.0,124.0,2010.0,4019.0,1,1,31,2,1197502,21
1090000.0,3,2.5,3.0,2.0,2.0,4290.0,27.0,1970.0,4019.0,2,1,31,2,1005494,22
500000.0,2,2.5,2.0,1.0,1.0,0.0,60.0,1970.0,4019.0,2,1,31,2,594756,23
1100000.0,2,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,4019.0,0,0,31,2,1142397,24
1315000.0,2,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,4019.0,0,1,31,2,1136473,25
426000.0,1,2.5,1.0,1.0,1.0,0.0,124.0,1970.0,4019.0,2,3,31,2,505943,26
1447500.0,3,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,4019.0,0,0,31,2,1560042,27
457000.0,1,2.5,1.0,1.0,1.0,0.0,50.0,1970.0,4019.0,2,1,31,2,425063,28
1135000.0,2,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,4019.0,0,1,31,2,1446729,29
1542000.0,4,2.5,4.0,3.0,1.0,0.0,124.0,1970.0,4019.0,0,1,31,2,1908087,30
1290000.0,3,2.5,3.0,2.0,2.0,147.0,18.0,1970.0,4019.0,0,1,31,2,1359800,31
1290000.0,3,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,4019.0,0,1,31,2,1271236,32
470000.0,1,2.5,1.0,1.0,1.0,0.0,50.0,2013.0,4019.0,2,1,31,2,433514,33
1180000.0,2,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,4019.0,0,1,31,2,1141275,34
1195000.0,3,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,4019.0,0,3,31,2,1348917,35
1012500.0,2,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,4019.0,0,1,31,2,1214339,36
1030000.0,2,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,4019.0,0,1,31,2,1150290,37
840000.0,3,13.5,3.0,2.0,1.0,303.0,225.0,2016.0,3464.0,1,0,21,6,668381,38
730000.0,3,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,3464.0,0,4,21,6,619752,39
770000.0,3,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,3464.0,0,3,21,6,642443,40
603000.0,2,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,3464.0,0,1,21,6,542764,41
700000.0,3,13.5,3.0,2.0,2.0,239.0,134.0,2009.0,3464.0,1,1,21,6,670864,42
600000.0,3,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,3464.0,0,1,21,6,557312,43
500000.0,2,13.5,2.0,1.0,1.0,168.0,86.0,2011.0,3464.0,2,4,21,6,341858,44
720000.0,3,13.5,2.0,1.0,1.0,620.0,124.0,1970.0,3464.0,0,1,21,6,755911,45
785000.0,4,13.5,3.0,1.0,2.0,597.0,127.0,1970.0,3464.0,0,1,21,6,823095,46
725000.0,6,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,3464.0,0,3,21,6,1244360,47
450000.0,2,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,3464.0,1,1,21,6,419678,48
515000.0,2,13.5,2.0,1.0,1.0,141.0,73.0,2013.0,3464.0,2,1,21,6,384797,49
530000.0,2,13.5,2.0,1.0,1.0,120.0,94.0,2012.0,3464.0,2,1,21,6,384797,50
895000.0,3,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,3464.0,0,0,21,6,968645,51
805000.0,3,13.5,3.0,1.0,1.0,0.0,105.0,1950.0,3464.0,0,1,21,6,526396,52
752000.0,3,13.5,3.0,1.0,1.0,265.0,130.0,1993.0,3464.0,2,1,21,6,574616,53
440000.0,2,13.5,2.0,1.0,1.0,192.0,124.0,1970.0,3464.0,2,1,21,6,490250,54
755000.0,5,13.5,3.0,2.0,2.0,596.0,124.0,1970.0,3464.0,0,0,21,6,869957,55
700000.0,3,13.5,3.0,2.0,2.0,165.0,133.0,2009.0,3464.0,1,0,21,6,551488,56
830000.0,3,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,3464.0,0,1,21,6,984457,57
462500.0,2,13.5,2.0,1.0,1.0,164.0,124.0,2003.0,3464.0,2,1,21,6,440016,58
670000.0,3,13.5,3.0,2.0,2.0,657.0,124.0,1970.0,3464.0,0,3,21,6,923950,59
675000.0,2,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,3464.0,0,1,21,6,649720,60
1042000.0,3,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,3464.0,0,1,21,6,846088,61
910000.0,3,13.5,3.0,1.0,1.0,775.0,124.0,1970.0,3464.0,0,1,21,6,896517,62
773000.0,4,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,3464.0,0,1,21,6,1142130,63
810000.0,3,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,3464.0,0,0,21,6,863402,64
715000.0,3,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,3464.0,0,1,21,6,771359,65
790000.0,3,13.5,3.0,1.0,3.0,614.0,124.0,1970.0,3464.0,0,1,21,6,774024,66
540000.0,3,13.5,2.0,2.0,1.0,161.0,101.0,2010.0,3464.0,1,3,21,6,478789,67
825000.0,3,13.5,3.0,2.0,1.0,293.0,102.0,1960.0,3464.0,1,3,21,6,574843,68
685000.0,3,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,3464.0,0,1,21,6,664459,69
805000.0,3,13.5,3.0,1.0,1.0,623.0,124.0,1970.0,3464.0,0,1,21,6,805408,70
510000.0,2,13.5,2.0,1.0,1.0,141.0,76.0,1970.0,3464.0,2,1,21,6,373179,71
612000.0,3,13.5,3.0,2.0,1.0,212.0,124.0,1970.0,3464.0,0,1,21,6,712326,72
662000.0,3,13.5,3.0,1.0,2.0,612.0,124.0,1970.0,3464.0,0,1,21,6,776016,73
978000.0,4,13.5,4.0,3.0,2.0,532.0,124.0,1970.0,3464.0,0,1,21,6,1024536,74
720000.0,3,13.5,3.0,1.0,1.0,585.0,124.0,1970.0,3464.0,0,0,21,6,657887,75
765000.0,4,13.5,4.0,1.0,2.0,509.0,124.0,1970.0,3464.0,0,1,21,6,809628,76
900000.0,4,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,3464.0,0,1,21,6,940268,77
1275000.0,2,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,3280.0,0,1,25,5,1416266,78
1455000.0,2,3.3,2.0,1.0,0.0,159.0,124.0,1970.0,3280.0,0,1,25,5,1399537,79
2850000.0,3,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,3280.0,0,0,25,5,1989749,80
1850000.0,3,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,3280.0,0,1,25,5,1981287,81
1436000.0,2,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,3280.0,0,1,25,5,1416266,82
1110000.0,2,3.3,1.0,1.0,0.0,147.0,124.0,1900.0,3280.0,0,1,25,5,1453995,83
1550000.0,2,3.3,2.0,1.0,1.0,167.0,124.0,1970.0,3280.0,0,1,25,5,1404340,84
2300000.0,4,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,3280.0,0,1,25,5,2184025,85
1550000.0,3,3.3,3.0,2.0,2.0,718.0,124.0,1970.0,3280.0,1,4,25,5,1633629,86
1800000.0,3,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,3280.0,0,4,25,5,1714638,87
2120000.0,2,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,3280.0,0,1,25,5,1502670,88
1800000.0,3,3.3,3.0,1.0,1.0,253.0,124.0,1970.0,3280.0,0,4,25,5,1726886,89
1800000.0,3,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,3280.0,0,1,25,5,1976105,90
1810000.0,2,3.3,2.0,1.0,0.0,240.0,124.0,1970.0,3280.0,0,0,25,5,1488615,91
2615000.0,3,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,3280.0,0,1,25,5,2055362,92
2100000.0,5,3.3,5.0,2.0,1.0,237.0,124.0,1970.0,3280.0,0,1,25,5,2153848,93
1300000.0,3,3.3,3.0,1.0,0.0,129.0,124.0,1970.0,3280.0,0,1,25,5,1587389,94
1370000.0,3,3.3,3.0,2.0,2.0,0.0,85.0,2000.0,3280.0,0,1,25,5,1727942,95
1000000.0,2,3.3,2.0,1.0,0.0,288.0,124.0,1970.0,3280.0,0,1,25,5,1572995,96
2575000.0,3,3.3,3.0,2.0,1.0,228.0,124.0,1970.0,3280.0,0,1,25,5,1934199,97
1322500.0,2,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,3280.0,0,1,25,5,1416266,98
1562500.0,2,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,3280.0,0,1,25,5,1416266,99
2000000.0,3,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,3280.0,0,4,25,5,2018769,100
